date,canonical_id,mentions_count,engagement_score,track
2024-06-12,nano-machine,24.8,21.2,synthetic
2024-06-13,nano-machine,41.2,31.6,synthetic
2024-06-14,nano-machine,23.0,20.5,synthetic
2024-06-15,nano-machine,20.0,13.6,synthetic
2024-06-16,nano-machine,32.2,28.0,synthetic
2024-06-17,nano-machine,28.6,24.4,synthetic
2024-06-18,nano-machine,24.6,16.5,synthetic
2024-06-19,nano-machine,30.5,40.1,synthetic
2024-06-20,nano-machine,66.6,55.5,synthetic
2024-06-21,nano-machine,19.9,17.4,synthetic
2024-06-22,nano-machine,25.3,17.1,synthetic
2024-06-23,nano-machine,32.4,31.3,synthetic
2024-06-24,nano-machine,23.5,26.9,synthetic
2024-06-25,nano-machine,22.1,24.8,synthetic
2024-06-26,nano-machine,84.4,90.0,synthetic
2024-06-27,nano-machine,126.5,69.0,synthetic
2024-06-28,nano-machine,67.3,62.9,synthetic
2024-06-29,nano-machine,23.8,16.3,synthetic
2024-06-30,nano-machine,24.0,16.9,synthetic
2024-07-01,nano-machine,20.7,15.9,synthetic
2024-07-02,nano-machine,19.4,15.6,synthetic
2024-07-03,nano-machine,30.1,30.3,synthetic
2024-07-04,nano-machine,40.7,28.9,synthetic
2024-07-05,nano-machine,23.7,17.3,synthetic
2024-07-06,nano-machine,26.4,22.0,synthetic
2024-07-07,nano-machine,24.1,14.5,synthetic
2024-07-08,nano-machine,25.5,21.5,synthetic
2024-07-09,nano-machine,24.0,19.3,synthetic
2024-07-10,nano-machine,23.3,23.3,synthetic
2024-07-11,nano-machine,45.4,30.4,synthetic
2024-07-12,nano-machine,27.6,26.1,synthetic
2024-07-13,nano-machine,31.6,22.4,synthetic
2024-07-14,nano-machine,31.2,28.0,synthetic
2024-07-15,nano-machine,23.1,21.4,synthetic
2024-07-16,nano-machine,21.1,14.1,synthetic
2024-07-17,nano-machine,24.8,16.0,synthetic
2024-07-18,nano-machine,48.6,44.6,synthetic
2024-07-19,nano-machine,18.3,18.1,synthetic
