date,canonical_id,hype_index,price,track
2024-06-12,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-13,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-14,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-15,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-16,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-17,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-18,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-19,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-20,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-21,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-22,66-666-years-advent-of-the-dark-mage,0.0,100.0,real
2024-06-23,66-666-years-advent-of-the-dark-mage,-0.495,99.26,real
2024-06-24,66-666-years-advent-of-the-dark-mage,-0.495,99.26,real
2024-06-25,66-666-years-advent-of-the-dark-mage,-0.495,99.26,real
2024-06-26,66-666-years-advent-of-the-dark-mage,-0.495,99.26,real
2024-06-27,66-666-years-advent-of-the-dark-mage,-0.495,99.26,real
2024-06-28,66-666-years-advent-of-the-dark-mage,-0.495,99.26,real
2024-06-29,66-666-years-advent-of-the-dark-mage,-0.495,99.26,real
2024-06-30,66-666-years-advent-of-the-dark-mage,-0.28,98.84,real
2024-07-01,66-666-years-advent-of-the-dark-mage,-0.28,98.84,real
2024-07-02,66-666-years-advent-of-the-dark-mage,-0.28,98.84,real
2024-07-03,66-666-years-advent-of-the-dark-mage,-0.28,98.84,real
2024-07-04,66-666-years-advent-of-the-dark-mage,-0.28,98.84,real
2024-07-05,66-666-years-advent-of-the-dark-mage,-0.28,98.84,real
2024-07-06,66-666-years-advent-of-the-dark-mage,-0.28,98.84,real
2024-07-07,66-666-years-advent-of-the-dark-mage,0.9607,100.28,real
2024-07-08,66-666-years-advent-of-the-dark-mage,0.9607,100.28,real
2024-07-09,66-666-years-advent-of-the-dark-mage,0.9607,100.28,real
2024-07-10,66-666-years-advent-of-the-dark-mage,0.9607,100.28,real
2024-07-11,66-666-years-advent-of-the-dark-mage,0.9607,100.28,real
2024-07-12,66-666-years-advent-of-the-dark-mage,0.9607,100.28,real
2024-07-13,66-666-years-advent-of-the-dark-mage,0.9607,100.28,real
2024-07-14,66-666-years-advent-of-the-dark-mage,0.8104,101.51,real
2024-07-15,66-666-years-advent-of-the-dark-mage,0.8104,101.51,real
2024-07-16,66-666-years-advent-of-the-dark-mage,0.8104,101.51,real
2024-07-17,66-666-years-advent-of-the-dark-mage,0.8104,101.51,real
2024-07-18,66-666-years-advent-of-the-dark-mage,0.8104,101.51,real
2024-07-19,66-666-years-advent-of-the-dark-mage,0.8104,101.51,real
2024-07-20,66-666-years-advent-of-the-dark-mage,0.8104,101.51,real
2024-07-21,66-666-years-advent-of-the-dark-mage,0.9267,102.93,real
2024-07-22,66-666-years-advent-of-the-dark-mage,0.9267,102.93,real
2024-07-23,66-666-years-advent-of-the-dark-mage,0.9267,102.93,real
2024-07-24,66-666-years-advent-of-the-dark-mage,0.9267,102.93,real
2024-07-25,66-666-years-advent-of-the-dark-mage,0.9267,102.93,real
2024-07-26,66-666-years-advent-of-the-dark-mage,0.9267,102.93,real
2024-07-27,66-666-years-advent-of-the-dark-mage,0.9267,102.93,real
2024-07-28,66-666-years-advent-of-the-dark-mage,1.1956,104.79,real
2024-07-29,66-666-years-advent-of-the-dark-mage,1.1956,104.79,real
2024-07-30,66-666-years-advent-of-the-dark-mage,1.1956,104.79,real
2024-07-31,66-666-years-advent-of-the-dark-mage,1.1956,104.79,real
2024-08-01,66-666-years-advent-of-the-dark-mage,1.1956,104.79,real
2024-08-02,66-666-years-advent-of-the-dark-mage,1.1956,104.79,real
2024-08-03,66-666-years-advent-of-the-dark-mage,1.1956,104.79,real
2024-08-04,66-666-years-advent-of-the-dark-mage,-0.1583,104.54,real
2024-08-05,66-666-years-advent-of-the-dark-mage,-0.1583,104.54,real
2024-08-06,66-666-years-advent-of-the-dark-mage,-0.1583,104.54,real
2024-08-07,66-666-years-advent-of-the-dark-mage,-0.1583,104.54,real
2024-08-08,66-666-years-advent-of-the-dark-mage,-0.1583,104.54,real
2024-08-09,66-666-years-advent-of-the-dark-mage,-0.1583,104.54,real
2024-08-10,66-666-years-advent-of-the-dark-mage,-0.1583,104.54,real
2024-08-11,66-666-years-advent-of-the-dark-mage,-1.0654,102.88,real
2024-08-12,66-666-years-advent-of-the-dark-mage,-1.0654,102.88,real
2024-08-13,66-666-years-advent-of-the-dark-mage,-1.0654,102.88,real
2024-08-14,66-666-years-advent-of-the-dark-mage,-1.0654,102.88,real
2024-08-15,66-666-years-advent-of-the-dark-mage,-1.0654,102.88,real
2024-08-16,66-666-years-advent-of-the-dark-mage,-1.0654,102.88,real
2024-08-17,66-666-years-advent-of-the-dark-mage,-1.0654,102.88,real
2024-08-18,66-666-years-advent-of-the-dark-mage,-0.826,101.62,real
2024-08-19,66-666-years-advent-of-the-dark-mage,-0.826,101.62,real
2024-08-20,66-666-years-advent-of-the-dark-mage,-0.826,101.62,real
2024-08-21,66-666-years-advent-of-the-dark-mage,-0.826,101.62,real
2024-08-22,66-666-years-advent-of-the-dark-mage,-0.826,101.62,real
2024-08-23,66-666-years-advent-of-the-dark-mage,-0.826,101.62,real
2024-08-24,66-666-years-advent-of-the-dark-mage,-0.826,101.62,real
2024-08-25,66-666-years-advent-of-the-dark-mage,0.0034,101.62,real
2024-08-26,66-666-years-advent-of-the-dark-mage,0.0034,101.62,real
2024-08-27,66-666-years-advent-of-the-dark-mage,0.0034,101.62,real
2024-08-28,66-666-years-advent-of-the-dark-mage,0.0034,101.62,real
2024-08-29,66-666-years-advent-of-the-dark-mage,0.0034,101.62,real
2024-08-30,66-666-years-advent-of-the-dark-mage,0.0034,101.62,real
2024-08-31,66-666-years-advent-of-the-dark-mage,0.0034,101.62,real
2024-09-01,66-666-years-advent-of-the-dark-mage,0.5754,102.5,real
2024-09-02,66-666-years-advent-of-the-dark-mage,0.5754,102.5,real
2024-09-03,66-666-years-advent-of-the-dark-mage,0.5754,102.5,real
2024-09-04,66-666-years-advent-of-the-dark-mage,0.5754,102.5,real
2024-09-05,66-666-years-advent-of-the-dark-mage,0.5754,102.5,real
2024-09-06,66-666-years-advent-of-the-dark-mage,0.5754,102.5,real
2024-09-07,66-666-years-advent-of-the-dark-mage,0.5754,102.5,real
2024-09-08,66-666-years-advent-of-the-dark-mage,1.0376,104.11,real
2024-09-09,66-666-years-advent-of-the-dark-mage,1.0376,104.11,real
2024-09-10,66-666-years-advent-of-the-dark-mage,1.0376,104.11,real
2024-09-11,66-666-years-advent-of-the-dark-mage,1.0376,104.11,real
2024-09-12,66-666-years-advent-of-the-dark-mage,1.0376,104.11,real
2024-09-13,66-666-years-advent-of-the-dark-mage,1.0376,104.11,real
2024-09-14,66-666-years-advent-of-the-dark-mage,1.0376,104.11,real
2024-09-15,66-666-years-advent-of-the-dark-mage,0.8292,105.41,real
2024-09-16,66-666-years-advent-of-the-dark-mage,0.8292,105.41,real
2024-09-17,66-666-years-advent-of-the-dark-mage,0.8292,105.41,real
2024-09-18,66-666-years-advent-of-the-dark-mage,0.8292,105.41,real
2024-09-19,66-666-years-advent-of-the-dark-mage,0.8292,105.41,real
2024-09-20,66-666-years-advent-of-the-dark-mage,0.8292,105.41,real
2024-09-21,66-666-years-advent-of-the-dark-mage,0.8292,105.41,real
2024-09-22,66-666-years-advent-of-the-dark-mage,0.4923,106.19,real
2024-09-23,66-666-years-advent-of-the-dark-mage,0.4923,106.19,real
