date,canonical_id,title,theme,decade,track,price
2024-06-12,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,100.85
2024-06-13,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,99.23
2024-06-14,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,102.05
2024-06-15,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,100.33
2024-06-16,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,98.43
2024-06-17,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,100.07
2024-06-18,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,100.1
2024-06-19,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,99.05
2024-06-20,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,101.74
2024-06-21,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,103.3
2024-06-22,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,101.33
2024-06-23,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,99.67
2024-06-24,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,97.42
2024-06-25,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,95.86
2024-06-26,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,99.43
2024-06-27,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,103.28
2024-06-28,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,104.67
2024-06-29,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,105.29
2024-06-30,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,102.2
2024-07-01,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,100.17
2024-07-02,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,99.18
2024-07-03,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,99.73
2024-07-04,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,99.97
2024-07-05,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,99.98
2024-07-06,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,95.07
2024-07-07,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,93.74
2024-07-08,nano-machine,Nano Machine,Martial Arts,2020s,synthetic,91.22
