canonical_id,total_return_pct,ann_vol,mean_return_pct,title,theme,decade,popularity,has_real_data
66-666-years-advent-of-the-dark-mage,-37.655,0.47,-23.657,"66,666 Years: Advent of the Dark Mage",Gods,2020s,24182,True
a-returner-s-magic-should-be-special,-31.159,0.46,-18.694,A Returner's Magic Should Be Special,Magic,2010s,48031,True
absolute-regression,54.16,0.477,21.671,Absolute Regression,Martial Arts,2020s,14976,False
after-ten-millennia-in-hell,-5.429,0.448,-2.795,After Ten Millennia in Hell,Dungeon,2020s,30098,False
bastard,33.538,0.448,14.481,Bastard,Crime,2010s,74998,True
beware-the-villainess,-66.448,0.459,-54.679,Beware the Villainess!,Villainess,2020s,25640,False
blink-master-of-the-magic-academy,-79.191,0.434,-78.598,Blink Master of the Magic Academy,Isekai,2020s,18588,False
demon-devourer,-79.104,0.449,-78.387,Demon Devourer,Demons,2020s,16951,False
descended-from-divinity,-21.147,0.472,-11.895,Descended from Divinity,Reincarnation,2020s,18977,False
doom-breaker,4.325,0.439,2.12,Doom Breaker,Dungeon,2020s,38720,False
dungeon-odyssey,-36.427,0.474,-22.68,Dungeon Odyssey,Dungeon,2020s,18390,False
dungeon-reset,-24.18,0.461,-13.859,Dungeon Reset,Dungeon,2020s,22215,False
eleceed,52.985,0.449,21.288,Eleceed,Urban Fantasy,2010s,43528,True
fff-class-trashero,-51.816,0.451,-36.558,FFF-Class Trashero,Isekai,2010s,23628,False
girls-of-the-wild-s,-34.524,0.464,-21.203,Girls of the Wild's,Love Triangle,2010s,22297,False
heavenly-demon-reborn,-4.13,0.47,-2.112,Heavenly Demon Reborn!,Martial Arts,2010s,17743,False
how-to-use-a-returner,21.645,0.452,9.81,How to Use a Returner,Dungeon,2020s,22835,False
i-am-the-sorcerer-king,128.789,0.448,41.438,I Am the Sorcerer King,Magic,2010s,18975,False
i-killed-the-main-player,17.401,0.476,8.032,I Killed the Main Player,Magic,2020s,19937,False
i-m-the-max-level-newbie,-34.739,0.447,-21.368,I’m the Max-Level Newbie,Dungeon,2020s,47480,True
i-shall-master-this-family,-35.536,0.478,-21.983,I Shall Master this Family!,Royal Affairs,2020s,23305,False
jungle-juice,-8.327,0.453,-4.353,Jungle Juice,Body Horror,2020s,21236,False
kill-the-hero,27.776,0.46,12.272,Kill the Hero,Revenge,2020s,22124,False
latna-saga-survival-of-a-sword-king,66.592,0.465,25.554,Latna Saga: Survival of a Sword King,Swordplay,2010s,33986,False
level-up-with-the-gods,12.807,0.46,6.034,Level Up with the Gods,Gods,2020s,27486,False
leviathan,-64.338,0.445,-51.625,Leviathan,Post-Apocalyptic,2010s,19872,False
log-in-murim,-17.059,0.464,-9.365,Log-in Murim,Martial Arts,2020s,22422,False
lookism,114.377,0.49,38.181,Lookism,Body Swapping,2010s,43613,True
lout-of-count-s-family,-9.099,0.466,-4.776,Lout of Count’s Family,Isekai,2020s,42380,True
maybe-meant-to-be,-18.635,0.43,-10.325,Maybe Meant to Be,Marriage,2020s,26198,False
my-blasted-reincarnated-life,42.08,0.453,17.585,My Blasted Reincarnated Life,Reincarnation,2020s,33360,False
my-s-class-hunters,-43.009,0.451,-28.152,My S-Class Hunters,Found Family,2020s,19719,False
mythic-item-obtained,-30.292,0.469,-18.067,Mythic Item Obtained,Gods,2020s,24358,False
nano-machine,17.323,0.465,7.999,Nano Machine,Martial Arts,2020s,44904,True
noblesse,-51.081,0.449,-35.799,Noblesse,Super Power,2000s,34083,False
omniscient-reader,-8.668,0.464,-4.54,Omniscient Reader,Survival,2020s,125804,True
overgeared,5.824,0.459,2.834,Overgeared,Video Games,2020s,36388,True
pick-me-up,147.71,0.463,45.417,Pick Me Up,Survival,2020s,40194,True
reality-quest,-70.895,0.484,-61.798,Reality Quest,Bullying,2020s,16403,False
return-of-the-blossoming-blade,-55.574,0.477,-40.623,Return of the Blossoming Blade,Swordplay,2020s,40848,True
return-of-the-mad-demon,98.596,0.459,34.352,Return of the Mad Demon,Martial Arts,2020s,25265,False
return-to-player,-25.868,0.454,-14.987,Return to Player,Gods,2020s,19198,False
revenge-of-the-baskerville-bloodhound,-42.465,0.475,-27.677,Revenge of the Baskerville Bloodhound,Age Regression,2020s,41179,True
