rank,canonical_id,canonical_name,medium,language,year,decade,primary_genre,theme,genres,popularity,favourites,trending,blended_score,native,aliases,site_url,anilist_id
1,nano-machine,Nano Machine,manhwa,ko,2020,2020s,Action,Martial Arts,Action|Adventure|Fantasy|Sci-Fi,44904,2991,67,0.7906,나노마신,Nano Mashin|นาโนมาชิน|ナノ魔神|奈米魔神|某天成为魔神|나노마신,https://anilist.co/manga/120980,120980
2,pick-me-up,Pick Me Up,webtoon,ko,2022,2020s,Action,Survival,Action|Adventure|Fantasy,40194,2604,66,0.7741,픽 미 업!,"PICK ME UP～低レア★英雄の成り上がり～|Pick Me Up!|Pick Me Up, Infinite Gacha|픽 미 업!",https://anilist.co/manga/159441,159441
3,solo-leveling,Solo Leveling,webtoon,ko,2018,2010s,Action,Dungeon,Action|Adventure|Fantasy,276778,31323,4,0.7649,나 혼자만 레벨업,I Level Up Alone|Na Honjaman Level Up|Only I Level Up|Ore dake Level Up na Ken|Поднятие уровня в одиночку|Тільки я візьму новий рівень|俺だけレベルアップな件|我獨自升級|나 혼자만 레벨업,https://anilist.co/manga/105398,105398
4,omniscient-reader,Omniscient Reader,webtoon,ko,2020,2020s,Action,Survival,Action|Adventure|Fantasy,125804,12996,16,0.7189,전지적 독자 시점,Der allwissende Leser|Jeonjijeok Dokja Sijeom|Lecteur Omniscient|Lector omnisciente|ORV|Omniscient Reader's Viewpoint|Punkt Widzenia Wszechwiedzącego Czytelnika|Zenchiteki na Dokusha no Shiten kara|Всеведущий читатель|อ่านชะตาวันสิ้นโลก|全知的な読者の視点から|全知讀者視角|全知读者|전독시|전지적 독자 시점,https://anilist.co/manga/119257,119257
5,the-return-of-the-disaster-class-hero,The Return of the Disaster-Class Hero,manhwa,ko,2021,2020s,Action,Revenge,Action|Fantasy,36266,1341,36,0.6504,재앙급 영웅님이 귀환하셨다,A Disaster-Class Hero Has Returned|Jaeanggeup Yeongungnimi Gwihwanhasyeotda|การกลับมาของฮีโร่ระดับหายนะ|災いクラスの俺様英雄の帰還|灾难级英雄归来|재앙급 영웅님이 귀환하셨다,https://anilist.co/manga/143056,143056
6,the-greatest-estate-developer,The Greatest Estate Developer,webtoon,ko,2021,2020s,Adventure,Surreal Comedy,Adventure|Comedy|Fantasy,61503,7177,17,0.6403,역대급 영지 설계사,El mejor desarrollador inmobiliario|The Greatest Estate Designer|The World's Best Engineer|Yeokdaegeum Yeongji Seolgyesa|ยอดสถาปนิกผู้พิทักษ์อาณาจักร|史上最高の領地設計士|史詩級領地設計師|史诗级领地设计师|역대급 영지 설계사,https://anilist.co/manga/140407,140407
7,tower-of-god,Tower of God,webtoon,ko,2010,2010s,Action,Super Power,Action|Adventure|Drama|Fantasy|Mystery,97490,7916,2,0.6373,신의 탑,A Torre de Deus|Kami no Tou|Sinui Tap|ทาวเวอร์ออฟก๊อด หอคอยเทพเจ้า|神之塔|신의 탑,https://anilist.co/manga/85143,85143
8,return-of-the-blossoming-blade,Return of the Blossoming Blade,webtoon,ko,2021,2020s,Action,Swordplay,Action|Adventure|Fantasy,40848,2996,22,0.6118,화산귀환,El retorno del Monte Hua|Hwasangwihwan|Le retour du clan Hwasan|Return of The Mount Hua Sect|Return of the Flowery Mountain Sect|หวนคืนสู่ฮวาซาน|剑尊归来|劍尊歸來|화산귀환,https://anilist.co/manga/132144,132144
9,the-infinite-mage,The Infinite Mage,manhwa,ko,2022,2020s,Action,Magic,Action|Adventure|Drama|Fantasy,36798,1656,23,0.6035,무한의 마법사,Infinite Mage|Muhanui Mabeopsa|無限の魔法使い|무한의 마법사,https://anilist.co/manga/159930,159930
10,bastard,Bastard,manhwa,ko,2014,2010s,Drama,Crime,Drama|Horror|Mystery|Psychological|Romance|Thriller,74998,4618,1,0.6034,후레자식,BASTARD|Bastard. Сволочь.|Bastardo|Bâtard|Hurejasik|Kopile|バスタード|不肖子|후레자식,https://anilist.co/manga/86964,86964
11,the-horizon,The Horizon,manhwa,ko,2016,2010s,Adventure,Survival,Adventure|Drama|Psychological,62444,4396,3,0.5898,수평선,El horizonte|Horizont|Supyeongseon|Горизонт|Крайнебо|เส้นขอบฟ้า|水平线|수평선,https://anilist.co/manga/100568,100568
12,i-m-the-max-level-newbie,I’m the Max-Level Newbie,webtoon,ko,2021,2020s,Action,Dungeon,Action|Fantasy,47480,2235,11,0.5881,나 혼자 만렙 뉴비,I Am The Top Ranker Newbie|Na Honja Mallep Newbie|Solo Max-Level Newbie|ผู้เล่นหน้าใหม่เลเวลแมกซ์|俺だけレベルMAXなビギナー|我独自满级新手|滿級新手|나 혼자 만렙 뉴비,https://anilist.co/manga/137280,137280
